event_type_code,name,description,is_active,is_recurring_default,default_impact_level,default_affects_public,display_order,color_code,icon_name,category,tags
"holiday","Public Holiday","National and public holidays, religious observances, and cultural celebrations",true,true,3,true,1,"#FF5733","calendar","social","holidays,celebrations,cultural,religious"
"governance","Governance Event","Elections, policy announcements, legislative sessions, and government deadlines",true,false,4,true,2,"#2E86AB","gavel","government","elections,policy,legislative,government"
"emergency","Emergency Alert","Critical emergencies, weather warnings, health mandates, and security alerts",true,false,5,true,3,"#E74C3C","alert-triangle","government","emergency,warning,security,health"
"public_notice","Public Notice","General announcements, service changes, and public information",true,false,2,true,4,"#F39C12","info","government","announcement,notice,information"
"legislative","Legislative Activity","Parliamentary sessions, bill readings, committee meetings, and legislative proceedings",true,false,3,true,5,"#27AE60","scales","government","parliament,legislative,bills,committee"
"economic","Economic Event","Financial policies, budget announcements, economic indicators, and market reports",true,false,3,true,6,"#8E44AD","trending-up","economic","economy,finance,budget,markets"
"health","Health Event","Health campaigns, vaccination drives, policy changes, and medical announcements",true,false,3,true,7,"#3498DB","heart-pulse","social","health,medical,vaccination,campaign"
"education","Education Event","School calendars, exam periods, education policy, and academic announcements",true,false,2,true,8,"#E67E22","graduation-cap","social","education,school,exam,academic"
"infrastructure","Infrastructure Event","Project launches, construction activities, maintenance, and utility service changes",true,false,3,true,9,"#95A5A6","hard-hat","economic","infrastructure,construction,utilities,projects"
"cultural","Cultural Event","Cultural festivals, national celebrations, arts events, and traditional ceremonies",true,false,3,true,10,"#9B59B6","music","social","culture,festival,arts,celebration"
"sports","Sports Event","National tournaments, competitions, sports festivals, and athletic events",true,false,2,true,11,"#1ABC9C","trophy","social","sports,tournament,competition,athletics"
"administrative","Administrative Event","Office closures, administrative procedures, system updates, and internal notices",true,false,1,false,12,"#34495E","settings","government","administrative,office,procedures,system"
"environment","Environment Event","Environmental policies, conservation activities, climate events, and green initiatives",true,false,3,true,13,"#16A085","leaf","economic","environment,conservation,climate,green"
"diplomatic","Diplomatic Event","State visits, treaties, international agreements, and diplomatic meetings",true,false,4,true,14,"#2980B9","globe","government","diplomatic,international,treaties,visits"
"transport","Transport Event","Road closures, public transport changes, traffic management, and infrastructure updates",true,false,3,true,15,"#D35400","truck","economic","transport,traffic,roads,infrastructure"
