person_code,avatar_url,bio,social_links
ke/eldoret/william-samoei-ruto,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRej6Jt6lNUKrVmXNo9vMX2ZbwslZDP0RgBUfkVYYtFD5BaXyK3Wo6gzTuXxxUoGILUqbyq-UPgkagCYTWkAAPhZIZos3-4EX7l5S-bhgog&s=10,"5th President of the Republic of Kenya, previously serving as Deputy President and Minister for Agriculture.","{""x"": ""@williamsruto"", ""facebook"": ""williamsamoeiruto"", ""website"": ""https://president.go.ke""}"
ke/nairobi/johnson-arthur-sakaja-super-senator,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeClQIwOjRvYMoXOmW3dLuornDVlM_zItVCOLtv365GnxmVWUUrcd9HfBUTlPgi91A1VMhCLxJFx24AtP5MIYVuWmroQ8LJs5k3k1u6JIV&s=10,"Governor of Nairobi City County, former Senator of Nairobi and Nominated MP. Focused on urban planning and youth empowerment.","{""x"": ""@jsakaja"", ""instagram"": ""@jsakaja"", ""website"": ""https://nairobi.go.ke""}"
ke/homa-bay/gladys-atieno-nyasuna-wanga-mama-county,,"First female Governor of Homa Bay County, former Chairperson of the National Assembly Finance and Planning Committee.","{""x"": ""@gladyswanga"", ""facebook"": ""gladyswanga"", ""website"": ""https://homabay.go.ke""}"
ke/mombasa/abdulswamad-shariff-nassir-asn,,"Governor of Mombasa County, former Member of Parliament for Mvita Constituency and Chairperson of PIC.","{""x"": ""@asnassir"", ""instagram"": ""@abdulswamadnassir"", ""website"": ""https://mombasa.go.ke""}"
ke/meru/martha-karambu-koome-cj,,"First female Chief Justice of Kenya and President of the Supreme Court, with over 33 years of legal experience.","{""x"": ""@judiciarykenya"", ""website"": ""https://judiciary.go.ke""}"
ke/nyeri/rigathi-gachagua-riggy-g,,"Deputy President of Kenya, former Member of Parliament for Mathira Constituency and career administrator.","{""x"": ""@rigathi"", ""facebook"": ""rigathigachagua""}"
ke/bungoma/moses-masika-wetangula-weta,,"Speaker of the National Assembly, former Senator for Bungoma and Minister for Foreign Affairs.","{""x"": ""@wetangulam"", ""website"": ""https://parliament.go.ke""}"
ke/kilifi/amason-jeffah-kingi,,"Speaker of the Senate, former Governor of Kilifi County and Member of Parliament for Magarini.","{""x"": ""@amasonkingi"", ""website"": ""https://parliament.go.ke""}"
ke/embu/justin-bedan-njoka-muturi-jb-muturi,,"Attorney General of Kenya, former Speaker of the National Assembly and Magistrate.","{""x"": ""@honjbmuturi"", ""website"": ""https://ag.go.ke""}"
ke/vihiga/wycliffe-musalia-mudavadi-mudavadi,,"Prime Cabinet Secretary and CS for Foreign & Diaspora Affairs, former Vice President and Minister for Finance.","{""x"": ""@musaliamudavadi"", ""website"": ""https://pcs.go.ke""}"
ke/nairobi/uhuru-muigai-kenyatta-uk,,"4th President of Kenya (2013-2022). Currently serving as the Facilitator of the EAC-led Nairobi Process for Peace in DRC.","{""x"": ""@4thPresidentKE"", ""facebook"": ""myuhurukenyatta"", ""website"": ""https://uhurukenyatta.com""}"
ke/kisumu/raila-amolo-odinga-baba,,"Former Prime Minister of Kenya (2008-2013) and African Union High Representative for Infrastructure Development. Candidate for AUC Chairmanship.","{""x"": ""@railaodinga"", ""facebook"": ""railaodingaofficial"", ""website"": ""https://railaodinga.com""}"
ke/kiambu/anthony-kimani-ichungwah-ichungwah,,"Member of Parliament for Kikuyu and Majority Leader in the National Assembly. Member of the Parliamentary Service Commission.","{""x"": ""@kichungwah"", ""facebook"": ""kimani.ichungwah""}"
ke/kilifi/gideon-maitha-mungaro-mungaro,,"Governor of Kilifi County. Previously served as the CAS for Lands and MP for Kilifi North and Malindi.","{""x"": ""@gideonmungaro_"", ""website"": ""https://kilifi.go.ke""}"
ke/uasin-gishu/jonathan-bii-chelilim-koti-moja,,"Governor of Uasin Gishu County. Former administrator focused on agricultural transformation and rural development.","{""x"": ""@jonathanbii"", ""facebook"": ""jonathanbiichelilim""}"
ke/kisumu/peter-anyang-nyongo-professor-nyongo,,"Governor of Kisumu County, former Senator and Minister for Medical Services. Renowned academic and political scientist.","{""x"": ""@anyanyongo"", ""website"": ""https://kisumu.go.ke""}"
ke/kirinyaga/anne-mumbi-waiguru-minji-minji,,"Governor of Kirinyaga County and Chairperson of the Council of Governors. Former CS for Devolution and Planning.","{""x"": ""@annewaiguru"", ""facebook"": ""annewaiguru.ke""}"
ke/machakos/wavinya-ndeti-wavinya,,"Governor of Machakos County. Former CAS for Transport and MP for Kathiani. Focused on 'Chakula Mezani' initiative.","{""x"": ""@wavinya_ndeti"", ""website"": ""https://machakos.go.ke""}"
ke/kakamega/fernandes-barasa-barasa,,"Governor of Kakamega County. Former CEO of Kenya Electricity Transmission Company (KETRACO).","{""x"": ""@fcbarasa"", ""facebook"": ""fernandesbarasa""}"
ke/nakuru/susan-wakarura-kihika-kihika,,"Governor of Nakuru County. Former Senator of Nakuru and Speaker of Nakuru County Assembly. Lawyer by profession.","{""x"": ""@susankihika"", ""facebook"": ""susankihika""}"
ke/bungoma/kenneth-makelo-lusaka-lusaka,,"Governor of Bungoma County. Former Speaker of the Senate and first Governor of Bungoma (2013-2017).","{""x"": ""@ken_lusaka"", ""website"": ""https://bungoma.go.ke""}"
ke/garissa/aden-bare-duale-duale,,"Cabinet Secretary for Defence. Former Majority Leader of the National Assembly and long-serving MP for Garissa Town.","{""x"": ""@honadenduale"", ""facebook"": ""honadenduale""}"
ke/tharaka-nithi/abraham-kithure-kindiki-kindiki,,"Cabinet Secretary for Interior and National Administration. Former Deputy Speaker of the Senate and Senator for Tharaka Nithi.","{""x"": ""@kithurekindiki"", ""website"": ""https://interior.go.ke""}"
ke/elgeyo-marakwet/onesimus-kipchumba-murkomen-murkomen,,"Cabinet Secretary for Roads and Transport. Former Majority Leader of the Senate and Senator for Elgeyo Marakwet.","{""x"": ""@kipmurkomen"", ""facebook"": ""kipchumbamurkomen""}"
ke/meru/kawira-mwangaza-mwangaza,,"Governor of Meru County. Former Woman Representative for Meru County and Bishop.","{""x"": ""@honkawira"", ""facebook"": ""kawiramwangaza""}"
ke/nyandarua/moses-kiarie-badilisha-badilisha,,"Governor of Nyandarua County. Focused on the 'Badilisha Maisha' economic transformation agenda.","{""x"": ""@kiariebadilisha"", ""website"": ""https://nyandarua.go.ke""}"
ke/makueni/mutula-kilonzo-junior-mutula-jr,,"Governor of Makueni County. Former Senator for Makueni and Minority Whip of the Senate. Advocate of the High Court.","{""x"": ""@senmutula"", ""facebook"": ""mutulakilonzojr""}"
ke/narok/patrick-ole-ntutu-ntutu,,"Governor of Narok County. Former CAS for Labour and Social Protection and MP for Narok West.","{""x"": ""@olentutu_p"", ""website"": ""https://narok.go.ke""}"
ke/muranga/alice-muthoni-wahome-wahome,,"Cabinet Secretary for Lands, Public Works, Housing and Urban Development. Former MP for Kandara.","{""x"": ""@honalicewahome"", ""website"": ""https://lands.go.ke""}"
