candidate_code,description,person_code,seat_code,election_code,party_code,is_independent
ke/nairobi/westlands/2022-general-election/johnson-arthur-sakaja-super-senator,Experienced Nairobi Senator turned mayoral candidate with focus on urban development and youth empowerment,ke/nairobi/johnson-arthur-sakaja-super-senator,ke/nairobi/governor,ke/2022-general-election,ke/odm,false
ke/nairobi/westlands/2022-general-election/polycarp-igathe,Former Nairobi County Deputy Governor and business leader with strong administrative experience,ke/nairobi/polycarp-igathe,ke/nairobi/governor,ke/2022-general-election,ke/jubilee,false
ke/nairobi/westlands/2022-general-election/margaret-wanjiru,Religious leader and former MP with focus on social justice and community development,ke/nairobi/margaret-wanjiru,ke/nairobi/governor,ke/2022-general-election,ke/jubilee,false
ke/nairobi/westlands/2022-general-election/philip-kisia,Former Nairobi Town Clerk with expertise in urban planning and administration,ke/nairobi/philip-kisia,ke/nairobi/governor,ke/2022-general-election,independent,true
ke/nairobi/westlands/2022-general-election/william-samoei-ruto-riggy-g,Deputy President of Kenya with focus on bottom-up economic development agenda,ke/eldoret/william-samoei-ruto,ke/president,ke/2022-general-election,ke/uda,false
ke/nairobi/westlands/2022-general-election/raila-odinga,Former Prime Minister and veteran opposition leader with focus on constitutional reforms,ke/nairobi/raila-odinga,ke/president,ke/2022-general-election,ke/odm,false
ke/nairobi/westlands/2022-general-election/george-wajackoyah,Economist and former police officer with focus on economic liberation and debt reduction,ke/nairobi/george-wajackoyah,ke/president,ke/2022-general-election,roots,false
ke/nairobi/westlands/2022-general-election/david-waihiga,Legal practitioner and human rights advocate with focus on justice and rule of law,ke/nairobi/david-waihiga,ke/president,ke/2022-general-election,anc,false
ke/nairobi/westlands/2022-general-election/moses-wetangula,Experienced lawyer and diplomat with focus on foreign policy and international relations,ke/bungoma/moses-masika-wetangula-weta,ke/national-assembly/speaker,ke/2022-general-election,ke/odm,false
ke/nairobi/westlands/2022-general-election/amason-kingi,Former Governor of Kilifi County with focus on coastal development and fisheries,ke/kilifi/amason-jeffah-kingi,ke/senate/speaker,ke/2022-general-election,ke/uda,false
ke/nairobi/westlands/2022-general-election/gladys-wanga,Homa Bay Governor with focus on women's empowerment and healthcare,ke/homa-bay/gladys-atieno-nyasuna-wanga-mama-county,ke/nairobi/senator,ke/2022-general-election,ke/odm,false
ke/nairobi/westlands/2022-general-election/edwin-sifuna,Nairobi County Assembly Majority Leader with focus on devolution and county governance,ke/nairobi/edwin-sifuna,ke/nairobi/senator,ke/2022-general-election,ke/odm,false
ke/nairobi/westlands/2022-general-election/esther-passaris,Nairobi Women Representative with focus on women's rights and social welfare,ke/nairobi/esther-passaris,ke/nairobi/women-rep,ke/2022-general-election,ke/odm,false
ke/nairobi/westlands/2022-general-election/rachel-shebesh,Former CAS and women's rights advocate with focus on gender equality,ke/nairobi/rachel-shebesh,ke/nairobi/women-rep,ke/2022-general-election,ke/jubilee,false
ke/nairobi/westlands/2022-general-election/millicent-omanga,Businesswoman and political commentator with focus on entrepreneurship and youth empowerment,ke/nairobi/millicent-omanga,ke/nairobi/women-rep,ke/2022-general-election,ke/uda,false
ke/nairobi/westlands/2022-general-election/timothy-wanyonyi,Westlands MP with focus on infrastructure development and constituency services,ke/nairobi/timothy-wanyonyi,ke/nairobi/westlands/mp,ke/2022-general-election,ke/odm,false
ke/nairobi/westlands/2022-general-election/anthony-nyandoro,Political analyst and commentator with focus on good governance and accountability,ke/nairobi/anthony-nyandoro,ke/nairobi/westlands/mp,ke/2022-general-election,ke/uda,false
ke/nairobi/westlands/2022-general-election/joseph-muchiri,Community leader and businessman with focus on local development and job creation,ke/nairobi/joseph-muchiri,ke/nairobi/westlands/mp,ke/2022-general-election,ke/jubilee,false
ke/nairobi/westlands/2022-general-election/mary-wanjiru,Women's rights advocate and community organizer,ke/nairobi/mary-wanjiru,ke/nairobi/westlands/mp,ke/2022-general-election,independent,true
ke/nairobi/westlands/2022-general-election/moses-kuria,Cabinet Secretary and former MP with focus on trade and industrial development,ke/nairobi/moses-kuria,ke/nairobi/westlands/mp,ke/2022-general-election,ke/uda,false
