tender_code,title,description,issuing_entity_code,geo_unit_code,procuring_office_code,procuring_office_holder_code,tender_type,procurement_method,estimated_value,currency_code,publication_date,closing_date,status,status_code
ke/2026/01/medical-kits-nairobi,"Supply of Medical Kits for Nairobi County Hospitals","Procurement of comprehensive medical kits including basic medical supplies, diagnostic equipment, and emergency response materials for public health facilities in Nairobi County.",ke/nairobi/health-department,ke/nairobi,ke/county-government/governor,ke/nairobi/johnson-arthur-sakaja-super-senator,supplies,open_tender,15000000.00,KES,2026-01-15,2026-02-28,published,published
ke/2026/01/road-construction-westlands-cbd,"Road Construction - Nairobi Westlands to CBD","Construction and upgrading of major road network connecting Westlands constituency to Central Business District with modern infrastructure.",ke/nairobi-county,ke/nairobi,ke/county-government/governor,ke/nairobi/johnson-arthur-sakaja-super-senator,works,open_tender,85000000.00,KES,2026-01-20,2026-03-15,open,open
ke/2026/02/it-infrastructure-ministry-health,"IT Infrastructure Modernization - Ministry of Health","Comprehensive upgrade of IT systems including hardware, software, and network infrastructure for Ministry of Health operations.",ke/ministry-of-health,ke,ke/cabinet/cabinet-secretary,ke/vihiga/wycliffe-musalia-mudavadi-mudavadi,services,restricted_tender,25000000.00,KES,2026-02-01,2026-03-30,closed,closed
ke/2026/02/medical-equipment-mombasa,"Medical Equipment Supply - Mombasa County","Supply of specialized medical equipment including X-ray machines, ultrasound devices, and laboratory equipment for Mombasa County health facilities.",ke/mombasa/health-department,ke/mombasa,ke/county-government/governor,ke/mombasa/abdulswamad-shariff-nassir-asn,supplies,open_tender,12000000.00,KES,2026-02-10,2026-04-05,open,open
ke/2026/02/agricultural-extension-kisumu,"Agricultural Extension Services - Kisumu County","Provision of agricultural extension services and training programs for farmers in Kisumu County, including modern farming techniques and sustainable practices.",ke/kisumu/health-department,ke/kisumu,ke/county-government/governor,ke/kisumu/peter-anyang-nyongo-professor-nyongo,services,quotations,5000000.00,KES,2026-02-15,2026-03-20,published,published
ke/2026/01/office-furniture-treasury,"Office Furniture Supply - National Treasury","Bulk procurement of office furniture including desks, chairs, filing cabinets, and storage solutions for National Treasury headquarters and regional offices.",ke/national-treasury,ke,ke/cabinet/cabinet-secretary,ke/tharaka-nithi/abraham-kithure-kindiki-kindiki,supplies,framework,8000000.00,KES,2026-01-25,2026-03-10,evaluated,evaluated
ke/2026/02/security-ministry-interior,"Security Services - Ministry of Interior","Provision of professional security services including guard services, surveillance systems, and security consulting for Ministry of Interior facilities.",ke/ministry-of-interior,ke,ke/cabinet/cabinet-secretary,ke/garissa/aden-bare-duale-duale,services,open_tender,18000000.00,KES,2026-02-05,2026-04-01,open,open
ke/2026/01/financial-audit-nairobi,"Consultancy Services - Financial System Audit","External audit and consultancy services for comprehensive financial system review and recommendations for Nairobi County Government.",ke/nairobi-county,ke/nairobi,ke/county-government/governor,ke/nairobi/johnson-arthur-sakaja-super-senator,consultancy,direct_procurement,3500000.00,KES,2026-01-30,2026-02-28,awarded,awarded
ke/2026/02/vehicle-procurement-health,"Vehicle Procurement - Health Department","Procurement of ambulances and utility vehicles for health emergency response and patient transport services.",ke/nairobi/health-department,ke/nairobi,ke/county-government/governor,ke/nairobi/johnson-arthur-sakaja-super-senator,supplies,open_tender,45000000.00,KES,2026-02-20,2026-04-20,published,published
ke/2026/02/waste-management-mombasa,"Waste Management Services - Mombasa County","Comprehensive waste management services including collection, transportation, and disposal of municipal waste for Mombasa County urban areas.",ke/mombasa-county,ke/mombasa,ke/county-government/governor,ke/mombasa/abdulswamad-shariff-nassir-asn,services,open_tender,22000000.00,KES,2026-02-12,2026-04-10,open,open
